Version, FIC frequency, Non FIC frequency, FIC ration
3_8_1,0,2,0.0
3_8,0,147,0.0
3_7,0,97,0.0
3_6,5,310,0.015873015873015872
3_5,13,502,0.02524271844660194
3_4,7,232,0.029288702928870293
3_3_2,0,39,0.0
3_3_1,0,28,0.0
3_3,5,145,0.03333333333333333
3_2_1,0,28,0.0
3_2,26,444,0.05531914893617021
3_1,13,139,0.08552631578947369
3_0_1,2,82,0.023809523809523808
3_0,93,1019,0.08363309352517985
2_6,0,72,0.0
2_5,7,186,0.03626943005181347
2_4,17,198,0.07906976744186046
2_3,16,118,0.11940298507462686
2_2,75,278,0.21246458923512748
2_1,69,390,0.1503267973856209
2_0,109,450,0.19499105545617174
1_0_1,0,4,0.0
