FIC,Non_FIC
53,3140
710,0
44,6698
240,12
7554,494
1235,65
1969,0
14336,5796
270,0
21,8315
12,4109
15,531
5,2353
4215,1544
1,27
70,2562
1558,0
198,4527
7,0
86,0
63,1583
2767,5
7,0
85,0
8216,1303
2,133
5486,52
33,106
1646,6068
49,1175
4660,2654
94,0
12,1
5,178
63,2
161,6
4277,27
3399,97
3321,0
2136,18
784,2055
130,135
34,1472
124,41
130,1
1018,2804
2759,45
9,1221
8,45
652,1537
2169,95
0,0
7,19
66,18
4,2
78,0
5576,67
3,10
218,2
3209,119
534,2277
63,1485
0,3197
2,0
0,1
29,1094
141,12
1569,2723
16,2588
1,150
411,112
182,0
883,1
25,8
0,150
92,0
0,1572
33,6
13,1665
8,1237
10,2
16,3771
1,0
15,15
4,0
6,72
1,3
0,14
213,11
1,5
0,11
51,1
20,4169
417,5732
10,31
50,1
1,1
25,3
3,130
1069,9916
241,0
38,3273
1105,74
216,6
1,9
11,23
85,6597
555,4
39,6299
112,26
2123,297
37,1
18825,4
3720,10
21,445
4111,428
21,2455
0,203
95,7
1905,30
167,2722
432,23046
4442,23
3,17407
71,14798
10,1422
8,2676
1415,1
1890,7
67,27
768,24
4171,705
2874,21
15721,4
4320,3
29,226
1122,0
0,174
279,1408
16965,2245
2287,775
6481,613
5379,8895
506,110
711,1
1588,69
145,22
1,56
2495,3
7414,197
1288,75
15,151
1,1138
8,5318
66,1610
2,0
9,848
27,714
174,2185
49,271
85,97
694,11576
41,14753
70,244
0,6315
958,12
133,853
5540,165
6,187
7342,0
0,9
17270,1553
1707,4140
1173,4
3025,1582
98,2
2948,0
929,1322
2781,8
2341,352
1142,1482
2573,2
30,382
6,64
203,37
2,9
44,7
1092,235
322,1722
171,237
1375,12
92,1426
2,973
831,88
1342,983
38,34
164,3494
3,3305
3,1
2,3
9,5
1,13
39,1315
30,0
0,12
3854,520
10,3
1381,8407
1,6095
5072,2301
42,1766
159,793
7,332
28,0
328,194
6,319
0,778
57,1577
15,1
471,3976
101,11
1,14
0,26
341,500
16,0
5688,0
1892,0
9,0
8221,0
12958,7940
0,1657
1387,272
7229,2372
2415,0
851,0
0,0
4892,1
5845,848
1,28
1105,9
369,1
1,964
7472,1
0,1547
1847,1844
60,1227
232,23
2,7
31,20
8587,268
4345,103
738,3611
172,1
31,1
37,1
742,0
62,29
3211,3
0,0
40,0
45,0
22,22
369,1
4242,8
3,14
25,16
6,1306
3038,70
14594,8
11360,0
3,56
51017,68
7,207
13,904
2315,59
3,4
5,11
25,882
3,25
11,0
5172,103
4413,1
9140,0
1,93
1099,35
109,13
4,19
14,1
25,0
39,0
16914,7
50730,543
44573,4
30,258
31,42
3,12
4,8
0,11
5,163
20,298
150,43
16,1129
83,3
2105,192
27814,3
4,6
30084,36
0,1407
0,2953
9,1292
11432,15
1,9
80,0
0,0
1,1
24,79
1,4
434,0
901,13
5790,11
17299,120
16,454
1832,148
3,10
24,60
0,12
9,0
10,57
7,0
493,0
81,3
9,2705
7,319
6873,1589
4,83
1172,109
16,9
69,1065
5175,60
881,3
832,4
5,4
2365,32
1311,4
4054,1239
5411,54
54,57
148,1
0,5
12228,27
262,20
74,1
23,8
519,16
15,1232
1420,16
10,63
3539,56
3002,10
83,8
1,34
85,3
1388,682
3,9
10291,1684
14,46
878,23
143,6
23,41
2033,31
11382,1251
2,168
309,62
6,63
320,143
63,1077
350,3858
6,4800
540,95
20,22
66,5
12,0
152,16
13620,3
7147,2
19,3
846,7
3,38
2,16
0,0
0,5
0,27
0,31
0,2273
0,617
0,9
5587,2
8,427
8,45
11,39
227,4
569,2
3673,8
283,5
0,793
7680,1037
23266,8
15888,0
8594,9
204,126
36,3
14,58
93,6
17,25
4,135
2,35
2,12
22557,2
1161,1154
20161,138
4,10
8603,130
6275,6
81,1
1478,0
18,1539
649,1347
363,0
1413,156
1447,0
328,9
2,21
30228,380
6,199
14849,93
140,110
12,3
4,1
1586,691
1387,22
3,28
197,416
655,1
0,18
6598,286
1817,311
229,0
113,13918
0,3169
1415,538
58,1296
4,673
4,7958
0,11
0,10495
160,3079
1035,1568
,75
,163
,5
,1471
,5
,11525
,4032
,3169
,23
,5
,5693
,36
,45
,14343
,178
,1712
,1005
,8
,14
,0
,3
,2
,38
,1
,7402
,26
,0
,5344
,1740
,207
,1215
,880
,340
,5
,28
,16
,481
,8021
,1689
,6482
,17
,11
,28
,71
,1352
,3215
,4585
,8560
,4295
,136
,68
,34
,4705
,3193
,1299
,3022
,6
,9
,15
,10
,6
,10
,967
,3126
,11269
,3
,1925
,58
,7259
,156
,882
,1
,2
,25
,0
,0
,5754
,8
,64
,29
,7245
,7162
,32
,11
,20
,15
,20
,1214
,8662
,1493
,204
,3
,1
,58
,1090
,349
,5
,1273
,14
,51
,16
,27
,1
,917
,1
,7
,1635
,332
,34
,6
,7
,1
,122
,9
,1169
,19
,6
,1
,571
,1
,1525
,981
,8
,7
,106
,2684
,6137
,2647
,38
,1246
,8759
,24
,8
,22
,7306
,1262
,111
,8419
,1101
,5880
,15881
,63738
,1205
,11559
,0
,1
,12
,1
,4
,10
,1782
,31
,9
,1448
,2874
,7113
,3112
,4342
,40
,64
,0
,712
,11
,1356
,10
,1
,6
,3446
,86
,2223
,1
,11
,244
,3
,22
,1830
,12
,5325
,110
,0
,0
,43
,4
,2197
,1411
,3165
,4340
,2340
,1524
,14851
,4
,19
,1242
,28
,2391
,787
,6
,955
,1
,1
,2659
,0
,1
,17
,832
,672
,11
,3201
,4
,14
,46
,1
,1091
,14
,29
,69
,0
,0
,172
,2769
,12
,6118
,1
,12787
,4403
,4
,9
,587
,5
,0
,27
,1427
,281
,39
,12
,6
,6953
,1456
,0
,1174
,101
,6
,11
,25
,0
,18
,1860
,4491
,1615
,1211
,2
,133
,9
,0
,85
,22
,18
,15
,4
,25
,7
,31
,5955
,14
,41
,23049
,8600
,16946
,27560
,7451
,18
,1456
,7
,1145
,2816
,111
,40
,11
,1
,19
,333
,4117
,27141
,385
,7341
,1
,4177
,1
,1118
,3170
,53
,2675
,71
,4
,1
,1
,1
,25
,0
,9
,5
,8
,4150
,8382
,2
,8
,16
,2425
,36
,4968
,6
,5154
,1
,1
,16
,10518
,3025
,21351
,15749
,72
,204
,149
,106
,5066
,108
,3
,1
,19
,31
,2789
,1
,8706
,1
,281
,14
,0
,0
,1
,8408
,0
,0
,0
,0
,1216
,154
,10
,9
,1
,2826
,193
,0
,1
,1
,1
,0
,22
,18467
,6072
,1
,2668
,1447
,2949
,404
,2501
,1
,2
,473
,0
,29
,1105
,102
,20
,0
,28
,8539
