FIC,Non_FIC
429,1412
1553,974
1156,31
184,51
646,116
423,238
3,47
689,1269
691,221
615,155
947,22
35,55
674,774
83,408
236,380
36,19
331,621
40,2
73,8
30,221
642,310
150,17
30,72
17,258
576,121
354,473
563,0
34,231
722,552
11,2
159,9
118,2
73,15
26,8
1500,22
145,46
409,31
648,33
1292,101
215,336
451,593
83,145
5,27
1245,14
768,14
405,2
116,417
575,3
167,3
440,85
66,89
9,14
31,1161
156,162
90,7
273,3
353,30
189,12
98,59
1446,21
93,54
1131,4
24,66
1802,991
103,74
15,45
12,570
667,5
210,94
38,73
315,510
39,165
45,44
600,10
52,140
122,4
49,31
18,153
3,3
45,94
142,578
0,30
1765,84
19,1
312,1
322,3
2,33
978,49
42,90
164,81
168,116
5671,10
391,1293
156,154
81,58
1273,417
546,1821
675,26
608,194
156,9
94,1
1258,16
17,5
955,141
401,41
77,16
133,384
39,1435
75,2471
599,5
5,2
546,642
15,386
1050,1369
213,1429
72,1
1063,6
165,16
256,472
643,28
26,913
100,1648
27,1733
928,85
55,86
24,179
1215,24
54,21
25,773
13,81
209,1
483,670
212,4
577,27
30,30
29,43
435,16
1046,658
993,212
1444,7
4,135
342,560
130,96
420,235
104,684
196,50
1674,3
239,890
138,97
265,130
139,0
132,607
250,9
549,76
27,693
494,426
384,16
36,227
30,995
17,107
282,109
115,0
46,1449
123,3
26,1
11,342
0,19
306,624
263,77
298,67
194,0
1918,21
32,149
108,21
129,834
160,154
170,3
1257,235
319,27
300,59
471,0
530,94
0,8
18,21
0,383
14,23
42,13
19,9
5710,1
598,13
527,14
537,4
0,890
639,78
311,66
15,111
1287,23
2042,90
300,45
202,31
4,16
462,11
810,213
32,24
56,4
1054,1083
59,256
114,26
693,13
39,41
89,85
107,471
456,23
902,234
169,12
274,11
81,14
197,17
422,25
429,22
27,32
20,881
291,621
568,563
69,69
720,39
2761,140
1249,650
0,37
178,1
42,48
57,10
102,55
159,60
100,14
752,51
4217,13
55,994
464,1
204,84
671,246
75,258
15,12
133,248
170,424
47,22
789,31
163,0
202,43
197,46
954,73
106,2405
70,0
23,998
25,3
68,1440
15,173
98,29
54,99
33,695
26,20
105,316
106,1
474,1693
789,930
3,184
0,146
163,64
71,119
9,6
17,50
405,70
1490,34
931,949
2,408
120,5
153,1555
43,24
895,26
376,0
249,20
259,732
1009,11
459,32
1042,27
354,40
640,39
769,1
47,13
192,14
22,18
723,4
203,28
1096,68
67,535
21,172
371,134
169,11
34,28
506,2
69,57
96,100
1221,0
19,58
72,0
36,9
551,1
46,765
367,38
20,533
579,774
85,0
54,4
144,3
868,37
144,236
292,95
10,0
43,310
535,51
276,65
140,14
179,1191
172,84
963,30
81,512
855,42
783,297
64,151
112,111
277,800
199,388
446,0
92,316
74,4
55,155
1416,118
186,162
117,50
207,103
861,492
123,612
188,301
33,1
829,19
22,2426
917,4
31,272
1022,2
40,292
612,30
23,3
157,703
0,1
938,56
288,1
1497,7
74,30
1106,15
69,17
613,2
21,10
74,328
75,35
138,22
354,73
234,7
790,72
480,11
12,83
505,28
39,24
21,19
219,11
0,67
7,5
1260,23
744,68
89,472
21,132
49,59
3,49
119,9
816,76
21,279
332,59
196,232
19,13
202,177
28,843
32,99
22,320
163,5
3017,8
1378,7
753,117
570,0
0,838
901,0
85,130
73,210
1012,2
501,9
1602,17
59,79
36,11
122,16
1066,27
857,72
108,264
54,29
44,86
39,12
354,69
107,4
3536,114
12,5
38,605
268,172
1018,35
38,168
157,146
826,1
287,66
54,114
919,19
52,29
759,976
604,54
13,175
52,1328
1031,268
73,51
1411,24
148,11
72,631
567,259
167,665
28,0
166,18
17,504
325,1042
1,299
308,2029
1103,124
159,68
498,32
1381,17
789,582
128,1
1050,76
323,212
339,24
315,25
200,8
16,30
659,61
63,8
98,90
0,417
0,1502
15,1378
165,161
34,655
52,293
19,1117
50,168
192,378
77,92
88,47
4981,663
52,29
107,94
173,179
275,505
18,83
26,350
260,10
148,13
39,664
40,6
76,5
350,973
747,66
79,1233
9,929
23,548
123,49
46,2143
197,1435
893,74
7,30
376,23
290,34
640,720
131,541
204,10
97,0
487,4
938,22
2918,60
18,20
576,939
1218,68
16,117
1376,72
28,27
217,600
922,0
53,0
299,1
81,18
873,46
1265,70
23,533
3730,1842
101,41
188,469
120,37
97,160
28,150
105,4
55,6
463,37
180,580
804,16
43,60
241,310
348,9
1538,912
675,16
36,13
41,60
67,3
31,88
