Version, Early, Middle, Late
28.1,0,0,0
28.0,0,0,0
27.1,0,0,0
27.0.1,0,0,0
27.0,0,0,0
26.0,0,0,0
25.1,0,0.09,0
25.0,0,0,0
24.1.1,0,0,0
24.1,0,0,0
24.0,0,0,0
23.6.1,0,0,0
23.6,0.04,0,0
23.5,0.12,0,0
23.4,0,0.07,0
23.3,0.17,0,0
23.2,0.15,0,0.05
23.1,0.03,0.03,0.03
23.0,0.01,0.07,0.06
22.0,0,0.03,0.05
21.0,0.03,0.05,0
20.0,0.08,0.07,0.05
19.0,0.09,0.11,0.07
18.0,0.12,0,0.15
17.0,0.02,0.07,0.09
16.0.1,0,0,0
16.0,0.06,0.09,0.06
15.0,0.07,0.12,0.08
14.0.1,0,0,0
14.0,0.25,0.17,0.09
13.0.1,0,0,0
13.0,0.2,0.2,0.12
12.0.1,0,0,0
12.0,0.07,0.19,0.12
11.0.2,0,0,0
11.0.1,0,0,0
11.0,0.22,0.17,0.1
10.0.1,0,0,0
10.0,0.1,0.14,0.14
9.0,0.2,0.17,0.12
8.0,0.43,1,0.38
7.0,0.4,0.2,0.19
6.0,0.17,0.4,0.17
5.0,1,0.5,0.25
4.0,0.22,0,0
3.0,0.33,0,0
2.0,0,0,0.67
