Version, FIC frequency, Non FIC frequency, FIC ration
28.1,0,47,0.0
28.0,0,93,0.0
27.1,0,84,0.0
27.0.1,0,3,0.0
27.0,0,55,0.0
26.0,0,46,0.0
25.1,1,27,0.03571428571428571
25.0,0,35,0.0
24.1.1,0,2,0.0
24.1,0,28,0.0
24.0,0,117,0.0
23.6.1,0,2,0.0
23.6,1,60,0.01639344262295082
23.5,1,27,0.03571428571428571
23.4,1,28,0.034482758620689655
23.3,1,17,0.05555555555555555
23.2,3,37,0.075
23.1,3,101,0.028846153846153848
23.0,6,142,0.04054054054054054
22.0,6,214,0.02727272727272727
21.0,4,125,0.031007751937984496
20.0,48,720,0.0625
19.0,57,534,0.09644670050761421
18.0,12,136,0.08108108108108109
17.0,7,132,0.050359712230215826
16.0.1,0,4,0.0
16.0,10,133,0.06993006993006994
15.0,37,371,0.09068627450980392
14.0.1,0,6,0.0
14.0,84,357,0.19047619047619047
13.0.1,0,2,0.0
13.0,43,194,0.18143459915611815
12.0.1,0,2,0.0
12.0,32,200,0.13793103448275862
11.0.2,0,8,0.0
11.0.1,0,8,0.0
11.0,39,192,0.16883116883116883
10.0.1,0,6,0.0
10.0,45,312,0.12605042016806722
9.0,14,70,0.16666666666666666
8.0,7,9,0.4375
7.0,11,41,0.21153846153846154
6.0,4,13,0.23529411764705882
5.0,3,4,0.42857142857142855
4.0,2,8,0.2
3.0,1,4,0.2
2.0,2,3,0.4
