FIC,Non_FIC
1.60,1.00
3.00,3.00
4.28,2.50
2.14,1.50
1.25,3.00
1.22,8.00
4.21,3.00
2.00,8.00
1.33,10.67
2.46,3.33
1.74,6.00
2.75,4.30
1.00,10.00
3.50,3.00
1.67,3.50
3.41,4.00
8.43,2.42
1.83,1.00
1.00,11.50
1.22,7.50
1.26,2.50
3.55,1.50
1.40,1.00
2.00,3.59
2.10,2.91
3.24,2.00
4.33,2.00
1.50,20.00
2.33,19.00
2.83,2.00
4.44,4.00
2.11,9.38
3.14,33.00
3.70,7.50
4.33,4.00
2.47,1.00
3.58,3.85
5.86,3.00
3.36,3.00
5.12,3.00
2.67,3.00
4.17,6.75
2.64,1.00
6.68,15.00
2.85,1.00
6.00,4.00
6.25,1.88
1.12,3.33
4.50,3.83
7.50,3.00
4.33,3.00
4.71,1.00
2.77,3.55
1.50,5.00
6.96,1.00
5.62,7.00
3.66,5.00
2.50,3.16
3.37,3.86
2.62,1.16
2.33,3.50
2.85,4.14
1.00,1.47
8.43,3.33
1.75,6.00
2.57,9.00
1.67,7.00
1.67,36.00
7.29,2.00
2.45,3.66
1.00,4.38
5.00,1.50
2.33,8.00
1.50,7.41
2.54,8.00
3.14,4.00
1.67,2.62
4.81,2.83
2.33,1.68
2.00,4.12
1.50,1.00
3.50,1.00
4.33,10.00
4.50,3.43
1.69,3.00
1.00,4.00
6.88,8.42
3.07,1.78
2.56,1.00
2.32,4.07
2.70,7.00
4.00,1.00
2.40,3.20
1.92,9.00
2.35,22.00
4.25,1.75
2.77,1.96
2.17,5.00
3.00,2.75
5.07,2.00
1.29,6.00
2.02,1.00
2.33,3.50
1.00,3.00
5.25,1.50
6.60,4.00
1.97,3.66
1.25,1.00
3.92,1.00
1.62,6.00
1.07,1.93
6.09,1.00
6.00,16.00
2.00,1.50
2.08,2.00
10.00,9.00
9.50,4.00
6.00,1.00
1.25,18.00
2.79,2.50
2.69,4.00
9.00,3.00
1.81,1.00
10.00,1.60
5.30,3.67
1.41,1.50
1.00,4.00
2.79,6.00
2.20,1.50
2.00,8.00
2.27,2.00
2.50,4.00
2.39,1.32
2.46,3.00
1.98,3.00
2.30,3.00
2.12,2.33
2.31,1.73
2.17,2.83
3.71,1.50
2.00,1.67
2.25,2.19
3.29,2.04
1.00,1.00
2.57,7.11
1.75,1.00
2.89,2.31
2.24,4.00
3.00,7.00
2.50,4.25
1.94,7.00
2.31,2.00
1.68,3.00
2.25,5.50
2.27,3.17
3.88,3.00
3.88,1.40
1.50,5.75
1.82,4.00
3.43,6.00
2.90,2.50
3.27,3.17
4.62,2.00
3.00,2.00
2.24,5.00
4.00,2.00
1.91,3.75
2.15,1.32
1.00,2.00
1.00,2.50
5.00,1.00
2.27,2.83
2.68,3.48
2.23,2.00
1.50,2.20
1.27,1.90
1.00,3.12
1.50,4.50
1.75,5.00
1.00,3.37
5.00,8.00
3.40,2.40
2.20,1.00
3.00,4.67
1.33,15.00
1.96,3.00
2.00,3.12
2.20,4.67
1.00,4.00
2.75,1.00
1.00,2.75
3.67,2.06
1.81,1.94
2.69,1.28
1.53,1.00
1.50,1.00
1.00,2.50
1.75,5.50
2.14,4.00
1.77,3.50
1.20,2.25
2.11,2.00
2.67,2.25
2.75,10.00
1.32,2.00
2.83,4.25
2.00,5.00
2.33,2.00
2.59,22.00
2.65,1.00
2.87,1.24
4.00,4.50
5.00,1.00
2.05,2.50
5.89,2.33
1.00,1.00
1.64,2.44
2.67,1.00
2.11,3.34
1.93,1.80
1.89,2.00
4.00,1.00
1.25,13.00
2.16,5.00
1.38,5.00
1.40,3.00
4.00,8.17
2.00,1.78
2.04,1.67
1.33,3.50
2.00,3.00
1.45,2.94
2.95,12.00
3.20,1.50
1.43,6.50
2.10,1.00
8.00,1.00
3.00,18.00
4.25,2.00
2.25,8.00
1.36,2.17
7.00,17.50
3.00,2.63
1.60,3.67
1.00,1.40
3.39,1.00
6.33,1.25
1.00,4.50
3.50,7.33
3.10,1.64
4.25,1.33
2.88,3.00
4.50,7.00
2.83,5.83
10.85,7.00
17.50,2.04
1.00,11.00
3.43,1.50
4.75,2.00
4.01,4.75
5.24,5.00
8.00,2.03
29.50,1.14
4.00,6.33
3.06,3.10
5.00,1.93
5.57,1.15
3.49,1.75
3.00,16.50
1.71,4.00
4.00,1.00
10.21,16.00
4.80,2.50
13.33,8.33
2.73,4.50
6.50,2.50
2.00,1.00
4.91,3.54
1.00,4.00
5.89,1.00
3.09,3.00
2.33,2.00
2.12,3.75
1.97,1.80
2.94,2.54
6.00,1.67
3.52,5.67
2.97,3.22
2.25,2.50
4.08,2.07
4.90,2.12
2.94,9.33
6.00,5.62
4.06,3.00
2.86,2.25
2.57,1.43
3.19,4.40
13.56,4.75
3.75,2.85
7.00,1.00
5.20,3.00
2.04,1.25
3.27,3.00
1.90,1.00
1.33,3.11
3.63,1.00
1.80,1.24
2.94,1.00
1.50,4.00
3.98,1.65
2.47,8.00
3.29,9.50
4.69,4.00
2.96,2.00
4.22,2.57
2.09,2.00
5.81,14.00
5.00,7.00
3.07,1.00
2.09,3.00
4.38,3.06
5.00,2.00
7.00,1.17
7.20,3.00
1.11,2.50
6.34,9.00
5.90,1.71
4.37,6.00
1.00,9.00
3.12,4.25
1.00,2.25
2.90,3.83
6.81,2.88
1.24,2.73
4.50,5.12
3.44,3.00
1.67,3.78
3.47,3.56
1.00,2.59
1.85,2.10
2.09,3.53
2.25,3.94
1.80,6.86
2.12,15.00
1.00,3.50
2.92,2.00
2.00,4.00
4.49,9.00
2.16,10.00
3.63,5.00
2.45,3.00
3.25,3.94
7.38,6.67
3.76,2.00
3.00,1.43
4.87,8.07
1.28,6.00
2.86,4.00
4.00,1.44
1.56,1.25
1.00,4.50
4.17,1.73
1.60,2.00
2.84,1.86
2.77,4.50
19.40,2.00
1.50,2.00
5.00,2.03
3.38,1.79
2.27,1.50
6.80,2.00
3.36,2.00
1.00,1.45
1.98,1.00
3.79,1.00
2.33,3.50
2.83,1.00
2.00,3.00
6.33,3.00
3.28,2.00
2.56,1.33
1.68,1.00
2.68,1.00
1.00,4.00
1.00,1.60
2.57,2.89
1.00,6.00
3.39,4.00
1.17,4.50
1.68,1.00
1.00,8.00
2.33,8.00
3.00,2.50
2.50,3.00
5.00,3.67
17.50,1.85
4.00,1.62
3.65,3.75
1.78,4.00
2.49,4.92
2.52,3.00
2.75,2.60
18.67,3.65
2.11,2.00
4.12,5.12
2.93,1.47
16.75,6.65
15.25,3.25
1.99,2.00
2.08,2.21
1.00,5.60
5.59,1.67
4.50,4.00
1.50,3.00
11.88,4.80
3.93,3.00
4.25,3.40
1.00,1.00
5.30,3.64
2.48,10.00
6.00,3.79
3.61,3.00
7.78,2.50
9.83,1.75
3.81,2.00
1.00,1.60
11.58,9.50
3.70,2.33
4.00,4.00
3.10,1.78
3.00,12.00
31.00,9.33
4.00,7.00
2.52,1.00
16.97,5.50
2.62,2.00
2.43,3.83
3.87,2.60
3.92,1.00
3.33,1.00
2.33,3.00
2.60,2.80
2.81,2.50
8.33,1.86
1.75,2.50
3.31,8.00
3.71,3.00
2.67,2.56
1.47,1.00
2.43,3.39
3.00,4.83
5.00,3.54
3.95,3.40
3.40,2.50
4.00,3.12
4.70,1.00
3.19,3.37
5.17,1.59
1.00,1.29
1.33,6.67
8.00,1.00
7.00,3.25
1.00,1.25
4.39,6.00
3.61,5.00
2.50,12.08
2.00,19.00
3.58,1.00
2.00,1.00
3.50,5.00
4.31,1.98
3.00,1.00
1.96,12.89
2.28,3.00
1.00,2.00
3.00,1.00
2.33,2.56
8.33,1.67
4.50,1.00
9.00,1.38
4.93,3.00
2.50,3.00
3.03,3.23
2.74,4.50
4.00,3.46
6.55,1.00
2.15,4.33
1.85,24.00
3.30,2.00
4.81,2.00
2.30,2.15
1.00,1.86
2.60,3.75
2.14,2.00
2.25,4.73
3.19,5.00
3.83,2.00
7.75,3.29
5.50,2.50
1.00,3.33
3.04,4.50
3.25,1.25
5.28,1.00
5.40,1.00
5.00,1.00
2.67,3.42
1.33,1.12
3.71,4.00
2.03,1.82
4.71,5.25
1.71,1.50
3.03,1.33
7.08,1.90
4.82,1.40
4.26,1.00
1.48,6.83
8.35,9.00
5.88,1.00
2.07,1.81
3.70,6.17
3.00,3.71
2.50,5.04
1.67,3.00
7.75,3.88
6.55,2.33
6.00,1.81
12.00,6.17
4.01,2.33
3.73,2.00
4.06,11.00
2.82,2.05
4.27,3.04
2.00,3.00
3.30,4.00
1.44,3.47
1.33,6.00
6.94,2.25
2.96,1.25
4.46,3.09
4.66,2.00
3.14,22.00
1.70,4.44
6.38,4.33
3.60,1.00
5.02,2.00
1.35,12.00
2.14,2.67
5.53,2.59
2.97,5.25
4.77,2.84
3.13,2.67
2.29,6.84
1.30,4.34
2.60,7.80
3.17,3.00
2.48,10.00
2.61,1.00
2.69,1.00
1.11,3.50
4.35,3.25
3.00,3.33
3.25,3.25
3.35,6.50
4.32,7.00
4.00,6.00
1.00,10.50
2.00,12.00
2.00,2.00
8.64,2.00
2.88,3.19
2.10,1.00
1.92,1.00
3.00,14.00
4.87,2.00
8.00,2.00
1.37,9.00
3.00,13.00
3.52,9.00
2.82,4.88
3.93,4.00
3.67,11.50
6.46,5.00
3.80,2.50
3.58,6.67
4.25,2.50
9.75,1.00
1.45,7.00
1.00,24.00
5.75,10.00
2.00,2.50
2.00,1.60
2.38,1.00
2.25,1.50
1.33,4.33
3.33,1.00
3.17,1.00
1.66,3.92
5.33,2.00
1.75,2.00
1.00,3.00
1.00,1.00
8.50,3.74
1.50,2.81
3.88,1.92
4.23,1.00
4.83,1.75
2.00,2.53
4.00,1.33
2.03,3.25
4.24,2.00
3.62,2.00
3.05,3.00
1.00,1.00
3.69,1.00
3.85,3.00
2.00,1.00
2.33,1.00
4.01,1.00
6.29,1.00
1.50,2.00
4.00,2.07
2.67,2.00
3.73,3.25
4.17,1.00
3.33,6.00
6.67,7.00
2.00,2.07
3.90,3.00
4.30,2.00
5.60,6.00
3.12,2.00
6.07,3.00
10.83,1.00
3.88,1.00
2.00,19.00
5.95,4.00
2.72,1.50
8.56,1.00
2.33,5.00
1.45,1.50
2.50,3.50
35.00,12.00
4.50,2.50
2.48,1.50
3.25,1.00
1.50,2.00
2.82,7.00
2.23,7.60
2.50,7.00
4.00,3.00
3.13,3.50
1.93,2.80
3.00,1.00
3.44,1.00
3.75,1.00
4.08,2.54
6.39,3.00
2.60,10.00
1.00,9.00
3.16,3.00
2.66,1.00
3.04,3.00
3.67,1.00
3.00,16.00
2.05,3.00
1.46,5.00
5.16,2.50
1.12,1.00
9.75,1.00
2.96,2.67
2.00,30.00
1.00,3.00
2.00,4.00
2.12,1.50
1.50,3.00
2.17,1.00
10.56,3.75
7.71,2.25
2.10,1.00
6.00,35.00
4.38,6.00
4.50,4.98
12.50,9.00
3.83,5.95
4.20,1.33
2.75,4.00
2.54,1.58
4.00,18.00
4.00,3.33
3.83,7.00
5.00,1.67
11.12,1.75
3.00,1.00
8.88,3.00
2.88,1.50
4.85,2.83
4.44,1.00
1.83,1.40
4.85,2.54
4.44,3.67
2.72,5.00
4.85,1.80
1.00,4.00
1.00,3.00
2.00,7.00
2.38,2.00
2.19,1.00
2.33,1.00
3.29,5.33
4.40,4.00
1.00,3.00
3.33,1.52
1.00,3.17
1.00,1.00
1.58,1.00
5.00,1.00
2.00,2.00
6.73,4.27
3.50,6.00
5.34,2.50
1.50,10.50
2.19,2.00
14.00,6.75
3.71,7.05
7.60,1.75
7.50,5.00
5.00,2.40
4.83,3.00
2.50,1.00
6.84,1.50
1.65,5.00
4.09,1.00
13.00,6.50
1.50,14.80
7.55,2.00
1.79,2.33
2.12,2.67
1.17,3.80
4.06,2.22
3.72,1.00
2.27,2.50
12.50,2.93
7.41,3.67
2.02,6.00
18.00,1.50
3.70,2.50
3.00,2.00
3.00,2.45
4.50,10.00
5.25,3.67
3.29,2.50
1.00,1.60
2.00,1.00
2.51,2.00
1.33,1.00
3.20,1.00
3.36,3.00
1.80,2.00
2.82,2.00
9.14,7.00
2.83,1.00
3.27,12.33
4.52,1.20
4.00,5.38
2.50,4.00
3.17,1.59
3.78,2.62
2.15,2.00
3.33,3.00
2.22,2.00
1.26,4.50
3.00,3.15
3.00,4.00
3.66,11.19
3.00,2.50
1.72,3.00
1.00,1.00
2.95,1.00
2.50,1.50
3.67,1.00
1.36,15.50
4.04,3.00
1.50,3.25
3.25,7.25
5.15,3.00
5.18,4.00
3.50,6.00
10.00,1.00
6.00,1.00
1.00,1.00
5.30,2.00
1.50,9.00
2.33,4.60
4.84,5.29
1.94,15.00
1.00,2.00
1.76,1.00
