Version, FIC frequency, Non FIC frequency, FIC ration
3.2.1,0,624,0.0
3.2.0,286,1943,0.12830865859129656
3.1.3,0,357,0.0
3.1.2,0,376,0.0
3.1.1,0,511,0.0
3.1.0,120,1338,0.0823045267489712
3.0.3,0,295,0.0
3.0.2,0,2,0.0
3.0.1,0,220,0.0
3.0.0,2458,13665,0.15245301742851827
2.10.0,0,986,0.0
2.9.2,0,230,0.0
2.9.1,0,231,0.0
2.9.0,0,3673,0.0
2.8.5,0,46,0.0
2.8.4,0,109,0.0
2.8.3,0,145,0.0
2.8.2,0,392,0.0
2.8.1,0,4,0.0
2.8.0,0,3471,0.0
2.7.7,0,20,0.0
2.7.6,0,61,0.0
2.7.5,0,48,0.0
2.7.4,0,331,0.0
2.7.3,0,318,0.0
2.7.2,0,212,0.0
2.7.1,0,156,0.0
2.7.0,0,1361,0.0
2.6.5,0,93,0.0
2.6.4,0,64,0.0
2.6.3,0,51,0.0
2.6.2,0,22,0.0
2.6.1,0,206,0.0
2.6.0,0,1052,0.0
2.5.2,0,15,0.0
2.5.1,0,18,0.0
2.5.0,0,902,0.0
2.4.1,0,105,0.0
2.4.0,0,491,0.0
2.3.0,0,1469,0.0
2.2.0,150,4785,0.030395136778115502
1.2.1,0,28,0.0
1.2.0,0,389,0.0
1.1.2,0,43,0.0
1.1.1,0,27,0.0
1.1.0,0,411,0.0
1.0.4,0,9,0.0
1.0.3,0,39,0.0
1.0.2,0,27,0.0
1.0.1,0,28,0.0
1.0.0,0,4875,0.0
0.23.11,0,45,0.0
0.23.10,0,80,0.0
0.23.9,0,29,0.0
0.23.8,0,33,0.0
0.23.7,0,148,0.0
0.23.6,0,83,0.0
0.23.5,0,119,0.0
0.23.4,0,46,0.0
0.23.3,0,726,0.0
0.23.1,0,452,0.0
0.23.0,150,1305,0.10309278350515463
0.22.0,0,5,0.0
0.21.0,42,373,0.10120481927710843
0.20.205.0,0,264,0.0
0.20.204.0,0,183,0.0
0.20.203.0,0,905,0.0
0.20.2,0,58,0.0
0.20.1,0,105,0.0
0.20.0,0,558,0.0
0.19.2,0,55,0.0
0.19.1,0,89,0.0
0.19.0,0,571,0.0
0.18.3,0,60,0.0
0.18.2,0,37,0.0
0.18.1,0,13,0.0
0.18.0,0,383,0.0
0.17.2,0,16,0.0
0.17.1,0,15,0.0
0.17.0,0,349,0.0
0.16.4,0,8,0.0
0.16.3,0,11,0.0
0.16.2,0,31,0.0
0.16.1,0,47,0.0
0.16.0,0,454,0.0
0.15.3,0,12,0.0
0.15.2,0,22,0.0
0.15.1,0,12,0.0
0.15.0,0,325,0.0
0.14.4,0,5,0.0
0.14.3,0,9,0.0
0.14.2,0,15,0.0
0.14.1,0,11,0.0
0.14.0,0,257,0.0
0.13.1,0,11,0.0
0.13.0,0,184,0.0
0.12.3,0,15,0.0
0.12.1,0,4,0.0
0.12.0,0,84,0.0
0.11.2,0,5,0.0
0.11.1,0,81,0.0
0.11.0,0,3,0.0
0.10.1,0,4,0.0
0.10.0,0,73,0.0
0.9.2,0,4,0.0
0.9.1,0,4,0.0
0.9.0,0,58,0.0
0.8.0,0,54,0.0
0.7.1,0,4,0.0
0.7.0,0,53,0.0
0.6.2,0,4,0.0
0.6.1,0,4,0.0
0.6.0,0,56,0.0
0.5.0,0,72,0.0
0.4.0,0,56,0.0
0.3.2,0,4,0.0
0.3.1,0,5,0.0
0.3.0,0,53,0.0
0.2.1,0,4,0.0
0.2.0,0,81,0.0
0.1.1,0,4,0.0
