FIC,Non_FIC
.00,4366.00
.00,102.00
28920.00,5456.00
.00,17.00
.00,31.00
12080.00,18.00
.00,84.00
.00,81.00
2909.00,3996.00
.00,17.00
.00,53.00
39663.00,7.00
.00,4.00
.00,10.00
50073.00,45.00
.00,179.00
.00,1164.00
7289.00,43.00
.00,40.00
.00,9.00
1836.00,4.00
.00,104.00
.00,4.00
6542.00,1254.00
.00,78.00
.00,2.00
650.00,7.00
.00,33.00
.00,3.00
781.00,1194.00
.00,45.00
.00,21.00
491.00,214.00
.00,57.00
.00,35.00
13159.00,13.00
.00,1067.00
.00,104.00
1084.00,3604.00
.00,697.00
.00,1415.00
474.00,14.00
.00,1379.00
.00,58.00
36.00,62.00
.00,90.00
.00,42.00
14041.00,170.00
.00,1171.00
.00,8787.00
12843.00,380.00
.00,1099.00
.00,1321.00
21939.00,37.00
.00,5465.00
.00,10.00
11497.00,31.00
.00,224.00
.00,26.00
57661.00,.00
.00,23.00
.00,7.00
7131.00,40.00
.00,1133.00
.00,32.00
3073.00,1438.00
.00,128.00
.00,127.00
1502.00,71.00
.00,1038.00
.00,234.00
28390.00,1396.00
.00,255.00
.00,217.00
13260.00,2301.00
.00,.00
.00,7.00
15727.00,181.00
.00,1.00
.00,1364.00
556.00,25.00
.00,1490.00
.00,124.00
5516.00,1484.00
.00,.00
.00,16.00
4165.00,5471.00
.00,8.00
.00,81.00
1054.00,76.00
.00,1186.00
.00,112.00
7986.00,1513.00
.00,98.00
.00,6.00
8597.00,7.00
.00,2.00
.00,1273.00
11305.00,5629.00
.00,1349.00
.00,242.00
3945.00,21.00
.00,11.00
.00,37.00
7509.00,28.00
.00,1255.00
.00,171.00
24448.00,1147.00
.00,26.00
.00,89.00
4258.00,164.00
.00,95.00
.00,6826.00
34370.00,4.00
.00,278.00
.00,64.00
8485.00,10.00
.00,1152.00
.00,175.00
10345.00,19.00
.00,1207.00
.00,23.00
573.00,60.00
.00,4.00
.00,122.00
9375.00,5.00
.00,10.00
17405.00,78.00
.00,45.00
12759.00,1217.00
.00,1282.00
6162.00,1.00
.00,31.00
3629.00,29.00
.00,49.00
10213.00,.00
.00,1421.00
3170.00,.00
.00,.00
9462.00,.00
.00,1.00
20851.00,.00
.00,2698.00
28803.00,.00
.00,49.00
9684.00,.00
.00,264.00
5980.00,.00
.00,4090.00
4048.00,.00
.00,271.00
6691.00,.00
.00,40.00
26793.00,.00
.00,2.00
5871.00,.00
.00,6.00
40464.00,1.00
.00,4053.00
38285.00,.00
.00,34.00
2892.00,.00
.00,224.00
103.00,.00
.00,1039.00
8719.00,.00
.00,11.00
7268.00,.00
.00,1589.00
2930.00,.00
.00,210.00
2584.00,.00
.00,3.00
3726.00,.00
.00,1119.00
571.00,.00
.00,26.00
12252.00,.00
.00,7134.00
42931.00,.00
.00,16.00
51720.00,.00
.00,5.00
5739.00,.00
.00,91.00
10275.00,.00
.00,5.00
22577.00,.00
.00,13.00
30709.00,.00
.00,33.00
1.00,.00
.00,118.00
15770.00,.00
.00,3.00
14239.00,.00
.00,10.00
8544.00,.00
.00,3.00
11261.00,.00
.00,1080.00
7927.00,.00
.00,467.00
11120.00,.00
.00,1100.00
74.00,.00
.00,5686.00
1960.00,.00
.00,58.00
765.00,.00
.00,285.00
4314.00,.00
.00,37.00
2783.00,.00
.00,182.00
108.00,.00
.00,854.00
52.00,.00
.00,165.00
97.00,.00
.00,1396.00
2639.00,.00
.00,100.00
4684.00,.00
.00,78.00
9816.00,.00
.00,44.00
2698.00,.00
.00,49.00
17484.00,.00
.00,1086.00
8707.00,.00
.00,65.00
2023.00,.00
.00,1346.00
1672.00,.00
.00,95.00
12167.00,.00
.00,2.00
92.00,.00
.00,152.00
1505.00,.00
.00,2.00
3243.00,.00
.00,14.00
1973.00,.00
.00,4106.00
22.00,.00
.00,114.00
549.00,.00
.00,15.00
2810.00,.00
.00,1334.00
9894.00,.00
.00,32.00
1237.00,.00
.00,78.00
4633.00,.00
.00,117.00
676.00,.00
.00,48.00
407.00,.00
.00,14.00
480.00,.00
.00,1300.00
110.00,.00
.00,3.00
182.00,.00
.00,9.00
1040.00,.00
.00,85.00
2385.00,.00
.00,108.00
4876.00,.00
.00,92.00
837.00,.00
.00,18.00
1818.00,.00
.00,155.00
1898.00,.00
.00,888.00
1143.00,.00
.00,1261.00
58.00,.00
.00,35.00
1520.00,.00
.00,150.00
2638.00,.00
.00,129.00
1924.00,5.00
.00,17.00
12.00,23.00
.00,.00
570.00,4058.00
.00,.00
856.00,14.00
.00,.00
2082.00,5870.00
.00,.00
461.00,2.00
.00,4.00
