FIC,Non_FIC
238.53,180.00
294.57,496.73
585.25,512.91
178.12,784.50
74.00,496.73
493.00,231.00
263.57,783.00
211.33,84.50
160.86,2661.50
171.86,448.83
150.74,484.00
178.90,805.33
120.00,548.00
238.67,390.50
159.75,314.00
391.14,851.00
563.00,489.00
564.45,191.00
617.41,242.00
617.44,997.00
228.56,635.00
532.75,121.67
564.38,169.00
380.00,93.00
277.86,89.00
294.20,557.50
813.50,1179.89
398.00,350.00
386.56,735.00
799.60,290.29
427.17,1012.12
212.20,525.00
1455.36,318.50
646.00,1048.17
780.38,958.86
893.82,1178.00
881.82,1214.00
357.50,882.25
1283.42,698.75
5150.00,536.67
867.75,1061.33
1311.57,130.00
770.73,327.00
631.89,386.27
1216.64,498.50
1016.17,708.00
600.00,100.00
1361.00,96.00
182.50,158.33
396.00,143.00
731.20,424.00
509.33,46.00
2235.60,384.00
701.00,381.71
1904.25,277.62
915.10,77.00
3169.50,202.00
1424.55,644.00
346.50,286.00
253.00,964.62
1565.30,420.50
1460.56,349.40
830.83,38.50
2067.09,611.00
598.60,106.00
253.00,187.86
873.91,750.32
157.33,295.00
1123.57,132.00
1002.25,163.29
1353.46,280.57
73.25,514.33
1156.20,1889.75
275.00,953.50
265.00,463.50
237.06,1206.00
250.77,623.00
291.50,152.00
1380.00,1465.50
150.92,1041.12
323.50,1265.00
188.00,497.67
244.91,355.09
264.00,1731.25
194.00,277.00
257.20,917.50
114.80,161.33
241.00,108.78
504.62,272.75
258.26,308.40
194.50,221.20
284.70,279.00
195.47,1187.33
397.67,385.00
209.89,230.67
214.83,1360.00
397.67,639.00
582.47,381.50
220.62,973.83
91.50,86.67
124.45,422.13
489.00,264.00
470.15,169.50
274.88,119.50
278.95,166.00
132.50,274.13
124.75,47.00
281.67,615.00
943.00,618.00
360.43,230.00
209.10,562.00
314.00,332.17
541.14,1445.00
211.30,169.00
169.71,315.00
1084.00,277.00
462.33,422.00
132.00,290.00
304.17,696.00
265.79,195.67
71.50,1018.00
346.00,109.45
396.71,264.00
976.67,305.50
