FIC,Non_FIC
5,0
1317,2
3645,9
230,182
3896,12
1463,2907
443,1575
7,3
832,4
18,928
36,325
679,242
1,131
304,2
999,4
42,18
14,22
7,16
1751,205
184,7
116,6
225,1
941,14
439,14
29,100
54,2
8,59
764,5
2513,867
623,1
1656,2
5752,59
34,47
232,4
2936,8
12,45
5,0
38,770
1302,10
255,489
26750,26
26,7
7472,5
51,12
290,46
2,12875
2,3863
1406,3
4,0
6,1
7457,2913
101,0
1245,1
7,7
67,3
0,21
67,1452
7,1178
2,4
4,3
4,35
2133,7
5120,21
0,2
2,0
4,16
4058,0
210,7
1316,21
65,992
510,2
499,18
8,13
1,0
2,0
3892,38
673,0
764,1
1398,3
49,242
90,267
290,1440
7,113
4,5467
211,3
996,0
150,849
6,358
15,0
2199,0
18,0
2,146
3,2
14,64
0,3
14,788
3,4
0,71
0,552
5,1
2,36
7004,0
0,1235
0,15
3986,6
336,165
281,1
225,6
1086,1137
2893,5
643,3
48,4
0,28
24391,52
25,5858
7,0
9651,0
2,19
1,9914
13,1147
5,3
115,0
58,1
139,2752
1791,173
25,1187
4308,234
19,4331
11,53
95,1
4,86
163,14132
30,0
5,0
58,8671
21,8656
447,63
3144,3
0,884
12,4
2388,60
18,0
25973,0
15,0
3017,0
86,1435
619,17
736,13
38,242
47,9794
16,0
7,127
5,4717
83,0
1700,690
28,0
895,1
31,115
6,11461
8440,2
1587,3149
22,1
14,0
22,0
52,0
23,53
6,18
9,2
2736,2
9,29
8,522
2,1
96,345
668,2
51,20
768,44
599,4297
15,299
10519,13
3,20
110,136
0,10
726,3
7,1
2,1
888,0
133,0
133,0
5,1
28,1
3,1
23,0
1374,855
94,35
11,235
1286,2
32,15
126,56
260,11
75,1
74,2805
7,1337
10,11
1075,2
2,35704
314,194
1,10
368,2
5026,4
8,16
33,8
3,22
8,5
18,111
1423,28
8604,952
1382,15
14,19
4,200
20,13
18,0
720,1
26,587
17,205
28,2
790,0
41,0
128,3
1,5
2,9
40,4
14874,2
32,49
6,21
29,1
0,7
4269,1
6,30
1,0
6,7
71,10
1983,8
8,3
0,66
3718,5441
30,82
24,10549
18,1570
3120,0
1873,755
249,6374
766,119
1677,1
2768,13886
234,2
3278,0
2,30
14,6
5,11440
19,20
15,6
1,0
1486,19
1,19
18,949
1,3
5,67
4400,9
0,1101
0,79
0,157
0,0
0,1422
0,2
0,0
3510,26
0,1
0,363
28,72
917,15
0,2
0,24
0,1
0,2
30,1
35864,0
1,1
0,2
0,1
0,5
0,3
0,5
0,2
0,3
0,8
0,3
0,2
0,1
0,2
54,1
0,3
0,0
0,7
7237,1
0,1
0,117
1448,2990
0,51
2693,42
1,8
73675,7
15,0
4,2
0,10
0,44
6462,11
0,5
0,35
8288,7546
55139,405
0,617
0,0
74,644
277,520
94,21
22,11301
4,1165
2537,409
1102,1
3417,11
21,21454
14,1
13,0
3,91
120,10159
2324,245
1534,0
10,5
4250,1
8702,0
15,27
1437,3702
5788,2
4711,0
5217,1062
10153,14
51,78
41,3080
35,760
9647,2213
4739,24
57004,47
1596,64
6626,980
278,3
0,51
4486,2
24,2
1404,9
190,2
14344,1
22008,13
4940,0
28,1
151,658
106,9
64,106
1569,1
203,1
2,3
3528,4333
415,0
71,19
36,12
18,2351
1,10
1,1
17,4
42,3
111,1
17,1
13,29
626,8
1047,16
262,23
5337,2449
1231,3
3,593
4,6
2,0
11502,47
2891,429
43,0
1907,46
0,757
137,665
248,1
7306,1
11,0
29,20
1492,3398
5698,13
48,0
33,96
14,1250
1197,4833
4427,2465
114,53093
5344,4361
7117,1
10648,5
319,76
1,24
6,0
25511,7
8,58
48,14
407,12
0,3215
29173,21
54,1042
0,30
0,3
253,6
20,9
2343,35
0,3
153,20
3655,2
1461,91
2255,45
2311,2973
7277,3
20,85
0,11
5055,2
40,0
103,5
5737,685
25,132
10,24
2727,1
108,669
1682,1340
0,105
0,64
0,1
0,78
6,85
6516,28
17,6
4,271
0,87
1374,40
0,36
51,21
29,66
10,0
0,2
0,16
27,1
0,0
0,129
2,51
2956,1
7044,15
0,10
0,10
0,0
0,0
0,6
0,2
120,54
9,10
1408,704
0,7554
0,1342
4988,23
207,1458
0,0
23471,0
22743,803
0,114
0,5
0,7
0,0
0,38
0,0
0,6
0,65
0,4
0,0
34,28
12306,5063
92,0
28463,129
43,1293
115,3
18,3
112,4228
510,50
0,3
0,34
0,2872
5,0
3,8
930,22
40,1375
23,1
47,7
68,3
57,0
197,30
1578,6
0,2026
0,5
2,3
2948,27
0,2
0,6
858,4
48,2436
1172,26
0,23
15849,1
9720,1
250,4356
71,6031
2908,9
9818,4
4702,5
0,49
679,4
2107,4
14,40
14293,2
1089,1
18349,1
1140,333
32,17
286,0
62,108
4,19
