Version, Early, Middle, Late
3.141.59,0,0,0
3.141.5,0,0,0
3.141.0,0.04,0.01,0
3.14.0,0,0,0
3.13.0,0.02,0,0.02
3.12.0,0.01,0,0.01
3.11.0,0,0,0
3.10.0,0,0,0
3.9.1,0,0,0
3.9.0,0.06,0,0.01
3.8.1,0,0,0.11
3.8.0,0,0,0.02
3.7.1,0,0,0
3.7.0,0.04,0.03,0.04
3.6.0,0.01,0.04,0.03
3.5.3,0,0,0.09
3.5.2,0,0,0
3.5.1,0,0,0
3.5.0,0.02,0.03,0.01
3.4.0,0,0.04,0.02
3.3.1,0.18,0,0
3.3.0,0,0.07,0.03
3.2.0,0,0,0
3.1.0,0,0.01,0.01
3.0.1,0.06,0,0
3.0.0,0.05,0.02,0.04
2.53.1,0,0,0
2.53.0,0.02,0,0.02
2.52.0,0,0,0.07
2.51.0,0.14,0,0
2.50.1,0,0,0
2.50.0,0,0,0
2.49.1,0,0,0
2.49.0,0,0.01,0
2.48.2,0,0,0
2.48.1,0,0,0
2.48.0,0,0,0.01
2.47.1,0,0,0
2.47.0,0.01,0.02,0.01
2.46.0,0,0,0.02
2.45.0,0.02,0,0
2.44.0,0,0.06,0.02
2.43.1,0,0,0
2.43.0,0.02,0,0.01
2.42.2,0,0,0
2.42.1,0,0,0
2.42.0,0,0,0.03
2.41.0,0,0.02,0.07
2.40.0,0.01,0.03,0.01
2.39.0,0,0,0
2.38.0,0.02,0,0.03
2.37.0,0,0,0
2.36.0,0.01,0,0.02
2.35.0,0,0.02,0.03
2.33.0,0.03,0.03,0.01
2.32.0,0,0,0
2.31.0,0.04,0.08,0
2.30.0,0,0,0
2.29.0,0,0,0.01
2.28.0,0,0,0
2.27.0,0,0,0.01
2.26.0,0.02,0.02,0.01
2.25.0,0.02,0,0.01
2.24.1,0,0.06,0
2.23.1,0,0,0
2.23.0,0.03,0,0
2.22.0,0,0.02,0.03
2.21.0,0.02,0.02,0.02
2.20.0,0,0,0.01
2.19.0,0.03,0.02,0
2.18.0,0,0,0.01
2.17.0,0,0.04,0
2.16.0,0.02,0,0.04
2.15.0,0,0.06,0
2.14.0,0,0.06,0.02
2.13.0,0.04,0,0
2.12.0,0.02,0.02,0.02
2.11.0,0,0,0
2.10.0,0.14,0,0
2.9.0,0.09,0,0.02
2.8.0,0.03,0,0.03
2.7.0,0,0,0
2.6.0,0.15,0.07,0.04
2.5.0,0,0.02,0.02
2.4.0,0.03,0,0.02
2.3.0,0,0,0
2.2.0,0,0.04,0.05
2.1.0,0.07,0.03,0
