Version, FIC frequency, Non FIC frequency, FIC ration
3.141.59,0,37,0.0
3.141.5,0,24,0.0
3.141.0,7,475,0.014522821576763486
3.14.0,0,130,0.0
3.13.0,3,180,0.01639344262295082
3.12.0,2,211,0.009389671361502348
3.11.0,0,73,0.0
3.10.0,0,145,0.0
3.9.1,0,15,0.0
3.9.0,5,225,0.021739130434782608
3.8.1,1,20,0.047619047619047616
3.8.0,1,119,0.008333333333333333
3.7.1,0,26,0.0
3.7.0,9,224,0.03862660944206009
3.6.0,6,204,0.02857142857142857
3.5.3,2,52,0.037037037037037035
3.5.2,0,29,0.0
3.5.1,0,44,0.0
3.5.0,7,389,0.017676767676767676
3.4.0,6,275,0.021352313167259787
3.3.1,2,27,0.06896551724137931
3.3.0,4,90,0.0425531914893617
3.2.0,0,53,0.0
3.1.0,3,461,0.00646551724137931
3.0.1,1,19,0.05
3.0.0,30,794,0.03640776699029126
2.53.1,0,84,0.0
2.53.0,2,135,0.014598540145985401
2.52.0,2,47,0.04081632653061224
2.51.0,2,35,0.05405405405405406
2.50.1,0,31,0.0
2.50.0,0,41,0.0
2.49.1,0,41,0.0
2.49.0,1,229,0.004347826086956522
2.48.2,0,6,0.0
2.48.1,0,26,0.0
2.48.0,1,249,0.004
2.47.1,0,5,0.0
2.47.0,3,213,0.013888888888888888
2.46.0,7,427,0.016129032258064516
2.45.0,2,250,0.007936507936507936
2.44.0,3,126,0.023255813953488372
2.43.1,0,11,0.0
2.43.0,2,193,0.010256410256410256
2.42.2,0,1,0.0
2.42.1,0,27,0.0
2.42.0,2,128,0.015384615384615385
2.41.0,4,108,0.03571428571428571
2.40.0,4,238,0.01652892561983471
2.39.0,0,53,0.0
2.38.0,3,151,0.01948051948051948
2.37.0,0,33,0.0
2.36.0,2,264,0.007518796992481203
2.35.0,5,268,0.018315018315018316
2.33.0,6,223,0.026200873362445413
2.32.0,0,163,0.0
2.31.0,3,90,0.03225806451612903
2.30.0,0,180,0.0
2.29.0,1,157,0.006329113924050633
2.28.0,0,48,0.0
2.27.0,1,194,0.005128205128205128
2.26.0,9,491,0.018
2.25.0,3,241,0.012295081967213115
2.24.1,1,55,0.017857142857142856
2.23.1,0,6,0.0
2.23.0,1,74,0.013333333333333334
2.22.0,7,436,0.01580135440180587
2.21.0,10,464,0.02109704641350211
2.20.0,1,133,0.007462686567164179
2.19.0,2,114,0.017241379310344827
2.18.0,1,137,0.007246376811594203
2.17.0,2,131,0.015037593984962405
2.16.0,6,228,0.02564102564102564
2.15.0,2,128,0.015384615384615385
2.14.0,3,133,0.022058823529411766
2.13.0,1,97,0.01020408163265306
2.12.0,4,181,0.021621621621621623
2.11.0,0,8,0.0
2.10.0,5,103,0.046296296296296294
2.9.0,5,183,0.026595744680851064
2.8.0,3,118,0.024793388429752067
2.7.0,0,67,0.0
2.6.0,26,250,0.09420289855072464
2.5.0,3,148,0.019867549668874173
2.4.0,3,146,0.020134228187919462
2.3.0,0,66,0.0
2.2.0,2,64,0.030303030303030304
2.1.0,4,91,0.042105263157894736
