FIC,Non_FIC
6,70
22,15
1,25
35,8
725,23
30,2
95,5
117,146
7,406
80,13
7,271
24,1
18,135
5,40
57,1359
58,5
70,1
7,3
2,16
2,1
3,0
19,10
12,3
3,0
4,1
1,14
1,9
170,0
155,4
591,1
133,9
448,161
0,146
0,220
15,901
7,2
17,1047
87,256
58,1
10,2
111,17
178,9
185,5
228,20
7,1
81,1
131,34
69,425
71,626
9,217
43,252
127,4
14,41
69,305
26,611
173,161
423,53
377,59
2,39
52,11
9,173
35,10
6,1
127,235
31,24
641,3
574,1344
607,24
0,4
26,771
496,0
40,2
17,51
76,182
8,55
22,6
51,6
259,7
291,10
116,6
143,10
753,16
34,134
348,968
50,4
182,348
155,2427
408,28
22,9
25,2
70,137
33,0
51,305
206,158
31,234
29,2
215,672
8,297
9,1312
1039,7
159,6
17,0
361,8
1202,0
998,88
1700,42
208,3
3,1
401,308
314,98
1209,461
83,6
281,69
34,45
3,47
2505,9
330,0
96,7
447,16
0,3
1756,0
954,1
0,524
124,77
198,2
17,65
534,0
79,184
439,103
25,38
299,15
792,18
305,203
0,2934
17,766
766,53
7,116
4079,60
0,0
3,12
0,96
377,0
47,17
144,34
159,39
44,14
461,11
279,1
35,42
16,32
17,2
3,24
8,11
2378,6
94,9
15,3
48,32
48,880
2578,53
253,0
4,0
8,1
19,115
10,50
102,17
55,3
44,138
101,8
109,125
1110,84
0,35
270,110
2955,27
176,3
0,725
84,4
87,120
4,24
461,87
575,180
1014,178
298,1
637,928
34,22
176,15
2,46
44,11
7,74
141,6
45,38
235,14
3014,15
657,11
20,12
0,1030
0,29
0,200
63,62
90,16
109,99
5,0
11,3024
670,58
67,5
189,10
7,24
1281,718
0,165
927,49
313,0
268,10
0,1
4,4
1,44
68,3
32,115
1,5
30,34
0,7
9,22
103,45
0,3
6,9
450,3
186,26
0,40
0,27
172,0
97,9
5,0
6,17
175,667
1730,80
222,121
15,18
19,0
0,12
263,17
4753,5
23,39
3,29
1163,35
644,15
265,9
0,15
993,3
1326,1
534,1
78,25
,20
,7
,17
,27
,6
,66
,70
,44
,0
,4
,73
,713
,20
,8
,2
,27
,0
,115
,33
,0
,37
,51
,9
,1
,5
,25
,11
,0
,103
,27
,374
,562
,91
,98
,38
,89
,34
,12
,214
,718
,8
,11
,52
,8
,4
,11
,1
,11
,6
,0
,5
,78
,51
,1
,38
,9
,46
,254
,4
,32
,24
,0
,3657
,62
,6
,2
,37
,281
,16
,3
,1
,1
,44
,8
,0
,8
,37
,102
,41
,5
,0
,6
,18
,42
,0
,1
,25
,121
,10
,5
,849
,31
,38
,1
,0
,381
,717
,477
,386
,665
,1
,1
,6
,25
,29
,103
,119
,11
,6
,12
,1
,9
,12
,0
,4
,2
,2
,175
,0
,177
,6
,960
,66
,94
,0
,44
,23
,2
,53
,2
,315
,2858
,1
,198
,504
,126
,161
,51
,20
,64
,6
,3
,5
,19
,59
,4
,120
,4
,1
,650
,79
,73
,278
,73
,156
,61
,7
,10
,96
,11
,77
,551
,1
,15
,20
,92
,19
,24
,58
,123
,13
,28
,2
,27
,5
,105
,4
,1
,17
,0
,6
,21
,47
,12
,38
,36
,12
,0
,39
,384
,534
,24
,56
,17
,5
,49
,2
,0
,0
,67
,2
,97
,20
,123
,53
,5
,51
,62
,7
,38
,21
,6
,3
,13
,275
,15
,92
,153
,101
,41
,30
,42
,167
,70
,821
,10
,15
,76
,2719
,93
,106
,6
,11
,51
,62
,1
,55
,5
,0
,199
,12
,31
,1
,27
,5
,57
,16
,10
,12
,10
,0
,328
,372
,108
,84
,39
,78
,1
,11
,1
,36
,25
,1
,18
,2
,3
,6
,1
,0
,0
,1
,0
,1
,22
,0
,24
,2
,8
,0
,2
,5
,8
,8
,2
,17
,8
,5
,11
,9
,191
,557
,52
,51
,112
,12
,29
,23
,16
,18
,99
,6
,1
,2
,1
,1
,2
,3
,5
,3
,0
,2
,7
,4
,1
,17
,189
,666
,181
,104
,1
,24
,0
,0
,65
,56
,5
,4
,357
,40
,109
,136
,448
,36
,63
,23
,67
,91
,1
,164
,38
,26
,349
,6
,744
,392
,1042
,209
,1364
,1
,10
,74
,0
,2
,19
,583
,25
,78
,9
,52
,139
,35
,345
,0
,21
,1
,8
,3
,69
,28
,134
,43
,34
,0
,19
,96
,12
,131
,2
,2
,0
,1
,1
,0
,0
,0
,1
,0
,30
,103
,40
,7
,38
,54
,61
,52
,62
,0
,5
,1
,0
,27
,93
,7
,91
,18
,36
,96
,769
,15
,32
,123
,30
,15
,79
,7
,0
,6
,3
,4
,143
,15
,78
,1
,0
,1
,11
,7
,247
,659
,1459
,541
,1
,181
,755
,22
,25
,49
,1178
,330
,52
,143
,0
,102
,234
,230
,1
,21
,389
,429
,3
,129
,1
,197
,50
,66
,13
,40
,92
,4
,503
,39
,33
,78
,13
,82
,3
,1
,34
,73
,14
,32
,15
,0
,5
,7
,54
,6
,18
,340
,3
,534
,90
,70
,110
,59
,52
,89
,1
,12
,151
,5
,15
,22
,19
,1163
,4
,228
,11
,9
,15
,19
,12
,49
,0
,2149
,1
,1
,182
,6
,40
,176
,1078
,0
,83
,56
,64
,68
,176
,16
,41
,8
,33
,2
,6
,8
,1005
,141
,215
,1253
,1216
,6
,19
,47
,130
,1158
,114
,72
,1184
,4
,1510
,24
,92
,385
,34
,1138
,19
,27
,419
,814
,0
,28
,110
,1
,4
,2
,23
,18
,145
,849
,321
,4
,91
,67
,100
,26
,19
,809
,10
,5
,12
,9
,36
,4
,25
,5
,8
,14
,7
,38
,8
,2
,2
,56
,9
,0
,1
,14
,16
,7
,31
,84
,10
,112
,148
,1192
,130
,3
,101
,632
,1154
,361
,62
,154
,0
,202
,63
,0
,86
,83
,0
,238
,274
,386
,70
,145
,22
,3
,3
,14
,10
,39
,447
,8
,443
,140
,210
,314
,981
,46
,59
,1
,0
,213
,964
,299
,551
,7
,2951
,603
,8
,40
,76
,2
,242
,8
,7
,263
,130
,245
,2
,203
,0
,228
,24
,29
,152
,45
,53
,2
,140
,29
,29
,94
,3
,4
,14
,11
,25
,27
,1
,17
,58
,155
,396
,81
,129
,119
,8
,6
,11
,2
,7
,62
,22
,24
,7
,6
,37
,1011
,8
,6
,7
,13
,27
,5
,11
,1
,27
,13
,27
,17
,41
,38
,166
,47
,33
,41
,633
,1
,295
,2714
,179
,272
,21
,595
,264
,89
,77
,158
,12
,2
,1
,1
,34
,51
,2
,1
,0
,108
,444
,2
,14
,12
,78
,54
,36
,129
,91
,18
,114
,177
,758
,124
,30
,29
,20
,15
,0
,51
,13
,30
,2
,5
,9
,141
,21
,2
,35
,708
,291
,46
,4
,102
,5
,13
,17
,33
,8
,47
,0
,129
,23
,405
,435
,18
,13
,8
,23
,19
,139
,69
,3
,22
,3
,4
,7
