Version, Early, Middle, Late
5.2.1,0,0,0
5.2.0,0,0,0
5.1.11,0,0,0
5.1.10,0,0,0
5.1.9,0,0,0
5.1.8,0,0,0
5.1.7,0,0,0
5.1.6,0,0,0
5.1.5,0,0,0
5.1.4,0,0,0.03
5.1.3,0,0,0.04
5.1.2,0,0,0.04
5.1.1,0,0,0.02
5.1.0,0.02,0.03,0.02
5.0.15,0,0,0
5.0.14,0,0,0
5.0.13,0,0,0
5.0.12,0,0,0
5.0.11,0,0,0
5.0.10,0,0,0
5.0.9,0,0,0
5.0.8,0,0,0
5.0.7,0,0,0
5.0.6,0,0,0
5.0.5,0.03,0.03,0.03
5.0.4,0.02,0.12,0.03
5.0.3,0.06,0.05,0.04
5.0.2,0.03,0.05,0.02
5.0.1,0.02,0.04,0.05
5.0.0,0.21,0.12,0.07
4.3.25,0,0,0
4.3.24,0,0,0
4.3.23,0,0,0
4.3.22,0,0,0
4.3.21,0,0,0
4.3.20,0,0,0
4.3.19,0,0,0
4.3.18,0,0,0
4.3.17,0,0,0
4.3.16,0,0,0
4.3.15,0,0,0
4.3.14,0,0,0
4.3.13,0,0,0
4.3.12,0,0,0
4.3.11,0,0,0
4.3.10,0,0,0
4.3.9,0,0,0
4.3.8,0,0,0
4.3.7,0,0,0
4.3.6,0,0,0
4.3.5,0,0,0
4.3.4,0,0,0
4.3.3,0,0,0
4.3.2,0,0,0
4.3.1,0,0,0.04
4.3.0,0.07,0.04,0.03
4.2.9,0,0,0
4.2.8,0,0,0
4.2.7,0,0,0
4.2.6,0,0,0
4.2.5,0,0,0
4.2.4,0,0.05,0.04
4.2.3,0,0.08,0.04
4.2.2,0.08,0.07,0.02
4.2.1,0,0.01,0.02
4.2.0,0.07,0.09,0.05
4.1.9,0,0,0
4.1.8,0,0,0
4.1.7,0,0,0
4.1.6,0,0,0
4.1.5,0,0,0
4.1.4,0.05,0.05,0.04
4.1.3,0,0.05,0.04
4.1.2,0.08,0.14,0.03
4.1.1,0,0.07,0.09
4.1.0,0.1,0.1,0.09
4.0.9,0,0,0
4.0.8,0,0,0
4.0.7,0,0,0
4.0.6,0,0,0
4.0.5,0,0,0
4.0.4,0,0,0
4.0.3,0.02,0.07,0.13
4.0.2,0.14,0.04,0.19
4.0.1,0.1,0.04,0.06
4.0.0,0.07,0.2,0.15
3.2.18,0,0,0
3.2.17,0,0,0
3.2.16,0,0,0
3.2.15,0,0,0
3.2.14,0,0,0
3.2.13,0,0,0
3.2.12,0,0,0
3.2.11,0,0,0
3.2.10,0,0,0
3.2.9,0,0,0
3.2.8,0,0,0
3.2.7,0,0,0
3.2.6,0,0,0
3.2.5,0,0,0
3.2.4,0,0,0
3.2.3,0.1,0,0
3.2.2,0.12,0.15,0.06
3.2.1,0,0.13,0.07
3.2.0,0.08,0.13,0.16
3.1.4,0,0,0
3.1.3,0,0,0
3.1.2,0,0,0
3.1.1,0.06,0,0.09
3.1.0,0.17,0.16,0.17
3.0.7,0,0,0
3.0.6,0,0,0
3.0.5,0.15,0.13,0.17
3.0.4,0.19,0.16,0.14
3.0.3,0.23,0.1,0.16
3.0.2,0.02,0.19,0.18
3.0.1,0.26,0.11,0.25
