Version, FIC frequency, Non FIC frequency, FIC ration
5.2.1,0,112,0.0
5.2.0,0,1610,0.0
5.1.11,0,25,0.0
5.1.10,0,67,0.0
5.1.9,0,69,0.0
5.1.8,0,59,0.0
5.1.7,0,91,0.0
5.1.6,0,113,0.0
5.1.5,0,68,0.0
5.1.4,1,123,0.008064516129032258
5.1.3,2,115,0.017094017094017096
5.1.2,1,67,0.014705882352941176
5.1.1,1,98,0.010101010101010102
5.1.0,21,879,0.023333333333333334
5.0.15,0,41,0.0
5.0.14,0,24,0.0
5.0.13,0,67,0.0
5.0.12,0,41,0.0
5.0.11,0,56,0.0
5.0.10,0,34,0.0
5.0.9,0,88,0.0
5.0.8,0,89,0.0
5.0.7,0,65,0.0
5.0.6,0,94,0.0
5.0.5,8,269,0.02888086642599278
5.0.4,8,167,0.045714285714285714
5.0.3,9,188,0.04568527918781726
5.0.2,6,174,0.03333333333333333
5.0.1,5,129,0.03731343283582089
5.0.0,316,2861,0.0994649039974819
4.3.25,0,23,0.0
4.3.24,0,18,0.0
4.3.23,0,54,0.0
4.3.22,0,19,0.0
4.3.21,0,25,0.0
4.3.20,0,19,0.0
4.3.19,0,63,0.0
4.3.18,0,17,0.0
4.3.17,0,28,0.0
4.3.16,0,5,0.0
4.3.15,0,133,0.0
4.3.14,0,43,0.0
4.3.13,0,59,0.0
4.3.12,0,27,0.0
4.3.11,0,21,0.0
4.3.10,0,34,0.0
4.3.9,0,46,0.0
4.3.8,0,67,0.0
4.3.7,0,60,0.0
4.3.6,0,85,0.0
4.3.5,0,81,0.0
4.3.4,0,89,0.0
4.3.3,0,115,0.0
4.3.2,0,79,0.0
4.3.1,2,88,0.022222222222222223
4.3.0,38,748,0.04834605597964377
4.2.9,0,50,0.0
4.2.8,0,85,0.0
4.2.7,0,55,0.0
4.2.6,0,94,0.0
4.2.5,0,64,0.0
4.2.4,4,118,0.03278688524590164
4.2.3,6,111,0.05128205128205128
4.2.2,8,152,0.05
4.2.1,2,147,0.013422818791946308
4.2.0,76,1068,0.06643356643356643
4.1.9,0,69,0.0
4.1.8,0,71,0.0
4.1.7,0,80,0.0
4.1.6,0,61,0.0
4.1.5,0,71,0.0
4.1.4,3,61,0.046875
4.1.3,4,90,0.0425531914893617
4.1.2,18,179,0.09137055837563451
4.1.1,11,136,0.07482993197278912
4.1.0,89,844,0.09539121114683816
4.0.9,0,49,0.0
4.0.8,0,68,0.0
4.0.7,0,63,0.0
4.0.6,0,57,0.0
4.0.5,0,39,0.0
4.0.4,0,87,0.0
4.0.3,21,228,0.08433734939759036
4.0.2,13,104,0.1111111111111111
4.0.1,16,236,0.06349206349206349
4.0.0,187,946,0.1650485436893204
3.2.18,0,41,0.0
3.2.17,0,24,0.0
3.2.16,0,20,0.0
3.2.15,0,17,0.0
3.2.14,0,38,0.0
3.2.13,0,26,0.0
3.2.12,0,30,0.0
3.2.11,0,34,0.0
3.2.10,0,25,0.0
3.2.9,0,80,0.0
3.2.8,0,43,0.0
3.2.7,0,94,0.0
3.2.6,0,40,0.0
3.2.5,0,83,0.0
3.2.4,0,65,0.0
3.2.3,1,71,0.013888888888888888
3.2.2,21,189,0.1
3.2.1,25,228,0.09881422924901186
3.2.0,132,813,0.13968253968253969
3.1.4,0,91,0.0
3.1.3,0,114,0.0
3.1.2,0,67,0.0
3.1.1,11,146,0.07006369426751592
3.1.0,215,1086,0.1652574942352037
3.0.7,0,66,0.0
3.0.6,0,86,0.0
3.0.5,26,140,0.1566265060240964
3.0.4,28,151,0.1564245810055866
3.0.3,32,161,0.16580310880829016
3.0.2,29,165,0.14948453608247422
3.0.1,48,186,0.20512820512820512
