FIC,Non_FIC
7559,1578
716,6469
2924,0
10,8228
18,2
58,6
2448,33
277,1
144,42
103,461
3856,1267
23,13
236,147
389,7
387,0
1344,815
320,29
156,5
65,595
1,0
3,978
14,12
1021,1598
119,151
668,103
134,834
55,9
1231,30
9,6
70,21
2,258
672,910
0,6
47,437
350,1012
4,338
9,6
37,1042
67,53
951,320
4,410
22,5
33,1
3,154
794,26
133,9
200,1134
30,19
143,1119
51,4
346,5
174,2
7,101
6,20
207,7
13,10
142,825
39,284
33,1033
4166,1
22,360
37,187
1,12
12,53
109,226
8,11
11,553
79,153
120,325
1263,2855
63,180
238,843
55,39
6,224
839,150
1110,1069
503,92
2,36
1058,46
6,833
270,340
1043,11
453,66
6,2248
815,7
1067,4
278,41
174,52
130,6
654,2
59,8
79,1346
5622,6
107,3
368,0
185,32
81,64
1053,21
337,64
252,117
113,5
6747,384
37,171
69,10
6,338
18,135
17,58
46,14
4397,43
524,594
1,16
1,1
122,7
680,25
17,12
83,44
48,74
6052,33
6200,80
61,12
3583,55
158,5
488,16
15,85
596,4
124,111
62,2622
8,1422
1446,363
4,1004
100,66
464,144
1439,42
4,14
16,1183
2,131
1398,109
95,277
42,6
54,9
301,77
194,23
6,0
10,56
115,279
2,8
25,8
28,30
3532,10
725,11
25,129
300,39
8,1
19,0
71,3075
786,13
82,4
51,20
3,7
95,680
101,50
111,22
293,198
6975,0
4195,20
363,25
2908,257
11350,12
0,4
56,0
708,1298
61,354
0,4
5823,20
69,30
264,36
1104,38
15,2
570,0
5,619
128,20
0,27
0,14
388,2
114,370
70,14
5639,946
379,254
91,1554
1161,21
101,14
0,584
42,798
0,139
24,483
16692,592
6,1
838,121
1726,602
5789,654
157,132
33,166
726,26
1703,89
1542,1
217,322
213,924
609,1514
669,6845
64,60
35,37
154,25
1516,53
720,1289
777,14
6,40
1,312
10304,1104
0,22
0,3
1,9
0,3
0,3
0,0
0,78
1,425
0,11
0,2
1,732
341,171
942,4180
1,508
0,252
362,538
6,35
117,77
735,986
1221,43
26,10
9,445
2,708
2,81
784,12
0,1
137,6
30,224
0,4
33,696
0,361
0,60
255,12
281,50
406,91
956,16
63,10
7,0
485,59
44,0
0,10
32,100
109,33
79,2
1286,2173
0,392
545,261
26,1195
51,1751
11,20
79,1067
32,1244
119,1340
88,17
11,228
115,10
121,8
106,0
858,14
314,202
4,0
23,824
39,57
313,84
1213,51
0,0
181,0
664,203
0,57
175,17
667,300
107,677
16,1
1129,24
80,8
8,33
349,24
146,3
45,12
23,0
184,186
358,27
646,73
62,299
227,43
4036,1
1567,28
230,7
321,613
0,1
21,36
0,32
0,1865
162,2357
5412,44
764,9
238,40
273,23
1327,52
4174,590
505,0
61,565
36,46
8,22
468,3
3452,9
51,319
3230,0
1033,4
2753,10
76,120
234,2
0,0
0,0
5431,24
193,79
98,3
0,11
756,1
159,5
5,16
170,4
2044,1
589,20
170,2
462,37
820,0
1657,6
840,712
421,38
0,14
0,99
0,3
0,155
0,5666
304,12
934,5
1728,217
958,1011
2367,321
0,1007
0,24
98,310
253,1631
3,4292
35,1653
1,1328
1245,0
7,76
3136,362
