Version, Early, Middle, Late
9.0.29,0,0,0
9.0.28,0,0,0
9.0.27,0,0,0
9.0.26,0,0,0
9.0.25,0,0,0
9.0.24,0,0,0
9.0.23,0,0,0
9.0.22,0,0,0
9.0.21,0,0,0
9.0.20,0,0,0
9.0.19,0,0,0
9.0.18,0,0,0
9.0.17,0,0,0
9.0.16,0,0,0
9.0.15,0,0,0
9.0.14,0,0,0
9.0.13,0,0,0
9.0.12,0,0,0
9.0.11,0,0,0
9.0.10,0,0,0
9.0.9,0,0,0
9.0.8,0,0,0
9.0.7,0,0,0
9.0.6,0,0,0
9.0.5,0,0,0
9.0.4,0,0,0
9.0.3,0,0,0
9.0.2,0,0,0
9.0.1,0,0,0
9.0.0,0,0,0
8.5.49,0,0,0
8.5.48,0,0,0
8.5.47,0,0,0
8.5.46,0,0,0
8.5.45,0,0,0
8.5.44,0,0,0
8.5.43,0,0,0
8.5.42,0,0,0
8.5.41,0,0,0
8.5.40,0,0,0
8.5.39,0,0,0
8.5.38,0,0.06,0
8.5.37,0,0,0
8.5.36,0.06,0.08,0.11
8.5.35,0.12,0.06,0
8.5.34,0.33,0.07,0.07
8.5.33,0.19,0.11,0.08
8.5.32,0.04,0,0.15
8.5.31,0,0,0.15
8.5.30,0,0.08,0.09
8.5.29,0,0,0
8.5.28,0,0,0.11
8.5.27,0.2,0.5,0
8.5.26,0,0,0
8.5.25,0.13,0.18,0.07
8.5.24,0.16,0.17,0.08
8.5.23,0,0,0.1
8.5.22,0.33,0.25,0
8.5.21,0,0.06,0.15
8.5.20,0.18,0,0.25
8.5.19,0,0,0.08
8.5.18,0.14,0.3,0.33
8.5.17,0,0,0.57
8.5.16,0,0.07,0.15
8.5.15,0,0,0.16
8.5.14,0,0.22,0
8.5.13,0,0,0.12
8.5.12,0.04,0.14,0.14
8.5.11,0,0,0.1
8.5.10,0.09,0.4,0.1
8.5.9,0.05,0.04,0.22
8.5.8,0,0,0
8.5.7,0.05,0.11,0.26
8.5.6,0.19,0.11,0.16
8.5.5,0,0.14,0.16
8.5.4,0,0.17,0.03
8.5.3,0.12,0,0.11
8.5.2,0,0,0
8.5.1,0.15,0.1,0.16
8.5.0,0.3,0.23,0.19
7.0.98,0,0,0
7.0.97,0,0,0
7.0.96,0,0,0
7.0.95,0,0,0
7.0.94,0,0,0
7.0.93,0,0,0
7.0.92,0,0,0
7.0.91,0,0,0
7.0.90,0,0,0
7.0.89,0,0,0
7.0.88,0,0,0
7.0.87,0,0,0
7.0.86,0,0,0
7.0.85,0,0,0
7.0.84,0,0,0
7.0.83,0,0,0
7.0.82,0,0,0
7.0.81,0,0,0
7.0.80,0,0,0
7.0.79,0,0,0
7.0.78,0,0,0
7.0.77,0,0,0
7.0.76,0,0,0
7.0.75,0,0,0
7.0.74,0,0,0
7.0.73,0,0,0
7.0.72,0,0,0
7.0.71,0,0,0
7.0.70,0,0,0
7.0.69,0,0,0
7.0.68,0,0,0
7.0.67,0,0,0
7.0.66,0,0,0
7.0.65,0,0,0
7.0.64,0,0,0
7.0.63,0,0,0
7.0.62,0,0,0
7.0.61,0,0,0
7.0.60,0,0,0
7.0.59,0,0,0
7.0.58,0,0,0
7.0.57,0,0,0
7.0.56,0,0,0
7.0.55,0,0,0
7.0.54,0,0,0
7.0.53,0,0,0
7.0.52,0,0,0
7.0.51,0,0,0
7.0.50,0,0,0
7.0.49,0,0,0
7.0.48,0,0,0
7.0.47,0,0,0
7.0.46,0,0,0
7.0.45,0,0,0
7.0.44,0,0,0
7.0.43,0,0,0
7.0.42,0,0,0
7.0.41,0,0,0
7.0.40,0,0,0
7.0.39,0,0,0
7.0.38,0,0,0
7.0.37,0,0,0
7.0.36,0,0,0
7.0.35,0,0,0
7.0.34,0,0,0
7.0.33,0,0,0
7.0.32,0,0,0
7.0.31,0,0,0
7.0.30,0,0,0
7.0.29,0,0,0
7.0.28,0,0,0
7.0.27,0,0,0
7.0.26,0,0,0
7.0.25,0,0,0
7.0.24,0,0,0
7.0.23,0,0,0
7.0.22,0,0,0
7.0.21,0,0,0
7.0.20,0,0,0
7.0.19,0,0,0
7.0.18,0,0,0
7.0.17,0,0,0
7.0.16,0,0,0
7.0.15,0,0,0
7.0.14,0,0,0
7.0.13,0,0,0
7.0.12,0,0,0
7.0.11,0,0,0
7.0.10,0,0,0
7.0.9,0,0,0
7.0.8,0,0,0
7.0.7,0.01,0,0
7.0.6,0,0,0
7.0.5,0,0,0
7.0.4,0,0,0
7.0.3,0,0,0
7.0.2,0,0,0
7.0.1,0,0,0
