Version, FIC frequency, Non FIC frequency, FIC ration
9.0.27,0,84,0.0
9.0.26,0,4,0.0
9.0.25,0,102,0.0
9.0.24,0,4,0.0
9.0.23,0,120,0.0
9.0.22,0,70,0.0
9.0.21,0,189,0.0
9.0.20,0,108,0.0
9.0.19,0,13,0.0
9.0.18,0,84,0.0
9.0.17,0,150,0.0
9.0.16,0,24,0.0
9.0.15,0,233,0.0
9.0.14,0,243,0.0
9.0.13,0,173,0.0
9.0.12,0,53,0.0
9.0.11,0,185,0.0
9.0.10,0,4,0.0
9.0.9,0,187,0.0
9.0.8,0,67,0.0
9.0.7,0,73,0.0
9.0.6,0,78,0.0
9.0.5,0,63,0.0
9.0.4,0,29,0.0
9.0.3,0,140,0.0
9.0.2,0,147,0.0
9.0.1,0,12,0.0
9.0.0,0,18685,0.0
8.5.47,0,65,0.0
8.5.46,0,90,0.0
8.5.45,0,4,0.0
8.5.44,0,105,0.0
8.5.43,0,91,0.0
8.5.42,0,55,0.0
8.5.41,0,37,0.0
8.5.40,0,51,0.0
8.5.39,0,116,0.0
8.5.38,1,81,0.012195121951219513
8.5.37,0,3,0.0
8.5.36,4,44,0.08333333333333333
8.5.35,4,63,0.05970149253731343
8.5.34,8,38,0.17391304347826086
8.5.33,9,67,0.11842105263157894
8.5.32,5,80,0.058823529411764705
8.5.31,4,36,0.1
8.5.30,3,46,0.061224489795918366
8.5.29,0,29,0.0
8.5.28,2,38,0.05
8.5.27,2,8,0.2
8.5.26,0,6,0.0
8.5.25,10,76,0.11627906976744186
8.5.24,14,97,0.12612612612612611
8.5.23,1,15,0.0625
8.5.22,2,14,0.125
8.5.21,7,65,0.09722222222222222
8.5.20,4,24,0.14285714285714285
8.5.19,1,15,0.0625
8.5.18,7,23,0.23333333333333334
8.5.17,4,20,0.16666666666666666
8.5.16,8,71,0.10126582278481013
8.5.15,6,70,0.07894736842105263
8.5.14,2,29,0.06451612903225806
8.5.13,6,63,0.08695652173913043
8.5.12,11,88,0.1111111111111111
8.5.11,1,18,0.05263157894736842
8.5.10,6,44,0.12
8.5.9,9,70,0.11392405063291139
8.5.8,0,7,0.0
8.5.7,19,84,0.18446601941747573
8.5.6,11,61,0.1527777777777778
8.5.5,18,117,0.13333333333333333
8.5.4,5,72,0.06493506493506493
8.5.3,7,68,0.09333333333333334
8.5.2,0,4,0.0
8.5.1,24,156,0.13333333333333333
8.5.0,3797,12988,0.2262138814417635
7.0.97,0,202,0.0
7.0.96,0,19,0.0
7.0.95,0,132,0.0
7.0.94,0,100,0.0
7.0.93,0,69,0.0
7.0.92,0,41,0.0
7.0.91,0,67,0.0
7.0.90,0,7,0.0
7.0.89,0,53,0.0
7.0.88,0,21,0.0
7.0.87,0,36,0.0
7.0.86,0,43,0.0
7.0.85,0,27,0.0
7.0.84,0,41,0.0
7.0.83,0,70,0.0
7.0.82,0,52,0.0
7.0.81,0,4,0.0
7.0.80,0,101,0.0
7.0.79,0,50,0.0
7.0.78,0,29,0.0
7.0.77,0,30,0.0
7.0.76,0,40,0.0
7.0.75,0,5,0.0
7.0.74,0,73,0.0
7.0.73,0,45,0.0
7.0.72,0,8,0.0
7.0.71,0,85,0.0
7.0.70,0,104,0.0
7.0.69,0,76,0.0
7.0.68,0,140,0.0
7.0.67,0,29,0.0
7.0.66,0,121,0.0
7.0.65,0,71,0.0
7.0.64,0,53,0.0
7.0.63,0,66,0.0
7.0.62,0,82,0.0
7.0.61,0,8,0.0
7.0.60,0,132,0.0
7.0.59,0,6,0.0
7.0.58,0,125,0.0
7.0.57,0,68,0.0
7.0.56,0,171,0.0
7.0.55,0,153,0.0
7.0.54,0,138,0.0
7.0.53,0,97,0.0
7.0.52,0,14,0.0
7.0.51,0,122,0.0
7.0.50,0,36,0.0
7.0.49,0,6,0.0
7.0.48,0,194,0.0
7.0.47,0,11,0.0
7.0.46,0,82,0.0
7.0.45,0,10,0.0
7.0.44,0,11,0.0
7.0.43,0,192,0.0
7.0.42,0,61,0.0
7.0.41,0,43,0.0
7.0.40,0,62,0.0
7.0.39,0,61,0.0
7.0.38,0,36,0.0
7.0.37,0,14,0.0
7.0.36,0,46,0.0
7.0.35,0,79,0.0
7.0.34,0,27,0.0
7.0.33,0,82,0.0
7.0.32,0,7,0.0
7.0.31,0,27,0.0
7.0.30,0,140,0.0
7.0.29,0,56,0.0
7.0.28,0,186,0.0
7.0.27,0,144,0.0
7.0.26,0,68,0.0
7.0.25,0,15,0.0
7.0.24,0,136,0.0
7.0.23,0,278,0.0
7.0.22,0,112,0.0
7.0.21,0,5654,0.0
7.0.20,0,5868,0.0
7.0.19,0,5483,0.0
7.0.18,0,51,0.0
7.0.17,0,200,0.0
7.0.16,0,60,0.0
7.0.15,0,73,0.0
7.0.14,0,20,0.0
7.0.13,0,109,0.0
7.0.12,0,128,0.0
7.0.11,0,59,0.0
7.0.10,0,54,0.0
7.0.9,0,123,0.0
7.0.8,0,11,0.0
7.0.7,16,5819,0.0027420736932305054
7.0.6,0,306,0.0
7.0.5,0,255,0.0
7.0.4,0,100,0.0
7.0.3,0,286,0.0
7.0.2,0,35,0.0
7.0.1,0,219,0.0
